bond_id;price_dirty;yield;duration
25262;65.134;null;null
25696;89.137;null;null
25700;98.107;null;null
25703;97.549;null;null
25818;172.757;null;null
25819;148.077;null;null
25880;100.85;null;null
25889;100.064;null;null
25953;99.994;null;null
25969;101.348;null;null
26091;null;null;null
26094;99.427;null;null
26195;100.903;null;null
26261;99.71;null;null
26574;101.673;null;null
27107;110.363;null;null
27270;102.834;-0.001;2.92
27300;100.252;null;null
27304;109.345;null;null
27313;100.246;null;null
27377;100.124;null;null
27404;107.908;0.009;null
27407;100.125;null;null
27409;100.263;null;null
27420;100.112;null;null
27462;100.188;null;null
27472;100.186;null;null
27491;100.29;null;null
27493;100.104;null;null
27502;100.334;null;null
27510;100.346;null;null
27536;100.03;null;null
27624;115.819;0.008;4.33
28179;100.201;0.01;5.84
28294;94.079;0.048;8.79
28368;89.002;0.025;12.57
28369;96.219;0.014;6.49
29005;137.1;0.011;11.44
29081;100.435;0.013;2.01
29125;100.745;0.026;5.62
29141;96.56;0.017;5.94
29142;100.211;0.006;2.13
29143;95.77;null;null
29163;101.369;0.02;8.65
29167;209.176;null;null
29191;104.261;-0.001;2.46
29193;112.971;0.025;3.98
29360;105.331;0.117;0.4
29382;102.36;-0.004;2.13
29400;129.502;0.021;4.3
29401;128.541;0.037;11.88
29421;102.698;0.003;5.27
29431;97.402;0.04;8.02
29438;100.026;null;null
29439;100.455;null;null
29440;99.847;null;null
29441;99.608;null;null
29442;99.76;null;null
29443;99.725;null;null
29444;99.595;null;null
29445;99.76;null;null
29446;99.583;null;null
29447;99.789;null;null
29448;99.585;null;null
29449;99.75;null;null
29450;99.779;null;null
29451;98.911;null;null
29452;98.451;null;null
29473;100.177;0.013;4.11
29484;94.462;0.06;8.58
29485;96.843;0.052;7.62
29486;100.695;0.039;5.69
29496;99.572;null;null
29540;94.202;0.048;8.76
29542;100.953;0.015;2.35
29548;93.874;0.027;5.75
29566;89.535;0.034;9.72
29567;91.535;0.047;10.72
29569;98.696;0.021;4.03
29577;101.245;0.017;5.93
29578;100.436;0.02;3.26
29583;100.293;null;null
29719;153.67;0.029;6.45
30023;108.723;0.007;0.84
30594;53.778;null;null
31015;124.729;0.015;2.57
31143;166.857;0.035;9.3
31390;165.616;0.029;6.51
31513;102.695;0.02;0.11
31789;102.894;0.027;0.46
31853;102.75;0.016;0.11
31918;111.29;0.047;11.47
31956;88.655;0.024;5.02
32251;102.706;0.014;0.03
32303;104.186;0.023;0.08
32482;102.71;0.014;0.03
32554;145.611;0.037;10.51
32563;108.951;0.013;0.97
32590;111.333;0.047;11.46
32632;25.507;0.367;2.82
32640;144.322;0.048;8.48
32986;102.769;0.014;0.03
32988;129.277;0.049;7.76
33046;null;null;null
33125;141.469;0.043;11.15
33126;108.97;0.013;0.97
33143;143.797;0.07;12.1
33207;null;null;null
33243;113.832;0.049;12.11
33281;150.066;0.035;10.11
33334;null;null;null
33418;102.731;0.025;0.11
33472;122.334;-0.002;9.16
33514;102.721;0.012;0.23
33532;102.781;0.029;0.46
33652;null;null;null
33700;131.95;0.035;8.2
33708;129.343;0.024;7.74
33709;102.714;0.012;0.23
33776;139.863;0.043;7.95
33841;null;null;null
33875;134.895;0.073;11.08
33898;103.194;0.035;0.87
33904;103.247;0.035;0.87
33910;107.677;0.025;0.54
33921;102.595;0.011;0.31
33943;136.493;0.038;7.76
34081;102.23;0.016;0.43
34101;131.755;0.039;7.15
34119;132.438;0.06;10.73
34166;130.273;0.04;7.24
34186;92.406;0.636;0.2
34261;102.294;0.016;0.42
34403;102.682;0.055;1.26
34446;104.701;0.011;0.57
34588;119.01;0.048;11.11
34639;106.017;0.013;0.64
34740;132.462;0.06;10.73
34874;105.83;0.029;1.12
34946;106.415;0.018;0.38
34981;104.797;0.042;0.37
34985;102.371;0.079;0.89
35001;104.301;0.011;0.73
35010;105.993;0.028;1.11
35042;99.95;0.107;0.88
35099;75.646;0.416;1.01
35105;108.457;0.018;1.36
35179;106.081;0.011;1.16
35194;102.494;0.026;0.31
35284;111.632;0.05;12.19
35316;105.884;0.02;1.1
35404;107.192;0.015;0.76
35405;41.95;1.131;1.05
35423;104.743;0.042;0.38
35427;102.757;0.025;null
35475;32.676;0.88;1.66
35489;134.973;0.038;8.36
35537;106.65;0.029;1.17
35591;104.269;0.024;0.59
35631;105.902;0.02;1.09
35659;null;null;null
35679;133.899;0.031;8.6
35713;105.529;0.038;1
35734;130.204;0.04;7.24
35805;null;null;null
35882;134.973;0.038;8.36
35954;108.044;0.011;0.57
35972;134.959;0.038;8.36
35973;135.699;0.035;10.97
36022;109.896;0.02;1.77
36195;111.38;0.057;12.07
36214;138.473;0.048;7.27
36274;111.38;0.057;12.07
36334;106.017;0.013;0.64
36354;104.456;0.023;0.31
36405;117.986;0.039;null
36570;131.613;0.039;7.14
36606;129.273;0.031;5.09
36628;139.75;0.032;8.01
36664;103.677;0.011;0.23
36735;154.794;0.042;8.22
36754;123.028;0.059;11.77
36829;107.738;0.076;3.75
37097;104.888;0.058;2.08
37198;103.808;0.062;2.03
37630;null;null;null
39096;115.529;0.026;1.94
40222;85.025;0.081;10.55
40357;134.981;0.073;11.07
40398;138.473;0.048;null
40418;129.277;0.049;null
40933;104.449;0.023;0.31
41188;93.501;0.177;0.76
41250;107.215;0.014;0.76
41284;103.202;0.062;0.63
41523;100.047;0.07;12.66
41619;154.794;0.042;8.22
41627;73.75;null;null
41666;106.415;0.018;0.38
41783;123.586;0.015;2.94
41878;94;0.517;0.16
42255;113.676;0.039;2.72
42278;33.09;1.294;0.51
42282;107.666;0.076;3.76
42519;109.243;0.064;3.84
42710;126.119;0.025;2.66
42841;97.856;0.1;6.38
42893;95.385;0.142;1.31
43065;118.772;0.018;2.79
43144;null;null;null
43158;119.328;0.035;2.77
43354;102.519;0.167;0.02
43517;110.284;0.023;2.97
43586;117.927;0.021;2.92
43904;110.267;0.023;2.97
43974;118.938;0.017;3.49
43978;104.853;-0.001;2.46
44006;109.94;0.025;3.2
44747;114.394;0.023;3.18
45074;115.834;0.059;12.33
45433;88.366;null;null
45547;115.834;0.059;12.33
45690;83.025;0.077;11.46
45732;100.782;0.049;3.53
45802;140.783;0.035;12.15
45840;60.144;0.237;3.32
46313;82.667;0.078;11.42
46319;null;null;null
46773;113.434;0.026;3.37
46841;128.794;0.036;14.68
46865;113.434;0.026;3.37
47000;128.755;0.036;14.69
47522;111.12;0.023;3.55
47641;110.394;null;0.07
47650;113.9;0.029;3.58
47750;107.285;0.054;3.45
47928;66.831;0.184;6.91
47997;111.45;0.037;3.5
48069;111.469;0.037;3.5
48144;105.483;0.102;3.05
48229;116.571;0.026;7.64
48535;103.377;null;null
48556;81.389;0.22;2.44
48594;3.14;null;0.62
48729;null;null;null
48737;110.392;0.054;3.6
48758;null;null;null
48775;106.792;0.056;1.07
48989;107.733;0.022;3.75
49053;110.435;0.032;3.94
49080;57.759;0.267;3.35
49082;110.435;0.032;3.94
49097;109.225;0.061;2.19
49221;120.81;0.041;4.61
49892;101.291;null;0
49903;101.072;3.226;0.02
50121;101.563;null;null
50331;79.266;0.096;10.37
50342;103.148;0.044;4.35
50389;134.026;0.045;null
50410;111.201;0.026;4.15
50493;104.026;0.106;3.15
50601;104.117;0.106;3.04
50663;98.997;0.072;3.94
50755;98.997;0.072;3.94
50844;110.231;0.019;4.47
50965;102.051;0.02;0.16
50966;100.908;0.078;1.59
50967;108.471;0.018;1.35
51007;100.13;0.074;4.25
51033;null;null;null
51087;null;null;null
51151;114.304;0.035;4.09
51228;105.483;0.102;3.05
51302;null;null;null
